ln,dob,gn,fn,is_duplicate,Processed_Text
SMITH JR,01-03-1968,F,WILLIAM,0,smith jr 01-03-1968 f william
ROTHMEYER JR,01-03-1968,F,WILLIAM,0,rothmeyer jr 01-03-1968 f william
BLAND III,21-02-1962,F,WILLIAM,1,bland iii 21-02-1962 f william
BLAND JR,21-02-1962,F,BILL,0,bland jr 21-02-1962 f bill
BLAND,21-02-1962,F,WILLIAM,1,bland 21-02-1962 f william
BLAND JR,08-06-1954,F,WILLIAM,0,bland jr 08-06-1954 f william
BLAND JR,25-10-1953,F,WILLIAM,0,bland jr 25-10-1953 f william
SHAFFER JR,25-10-1953,F,WILLIAM,0,shaffer jr 25-10-1953 f william
DUNCAN JR,25-10-1953,F,THOMAS,0,duncan jr 25-10-1953 f thomas
CARLSON JR,25-10-1953,F,ROY,0,carlson jr 25-10-1953 f roy
ASBY JR,01-03-1968,F,WILLIAM,0,asby jr 01-03-1968 f william
SALTER JR,01-03-1968,F,WILLIAM,0,salter jr 01-03-1968 f william
SHAFFER JR,21-02-1962,F,WILLIAM,0,shaffer jr 21-02-1962 f william
CARLSON JR,25-10-1953,F,RON,1,carlson jr 25-10-1953 f ron
DUNCAN JR,25-10-1953,F,ROY,0,duncan jr 25-10-1953 f roy
MICHAELSON,25-10-1953,M,ROY,0,michaelson 25-10-1953 m roy
MICHAELSON JR,01-05-1951,M,ROY,0,michaelson jr 01-05-1951 m roy
MICHAELSON JR,17-06-1948,M,ROY,0,michaelson jr 17-06-1948 m roy
MICHAELSON JR,09-04-1947,M,ROY,0,michaelson jr 09-04-1947 m roy
MICHAELSON JR,09-04-1947,M,ROBERT,0,michaelson jr 09-04-1947 m robert
MICHAELSON JR,09-04-1947,M,BOB,0,michaelson jr 09-04-1947 m bob
MUSTAPHA JR,11-03-1947,M,OWEN,0,mustapha jr 11-03-1947 m owen
MUSTAPHA JR,11-03-1947,M,OWAN,1,mustapha jr 11-03-1947 m owan
HOUGHTON JR,31-01-1946,M,LAWRENCE,0,houghton jr 31-01-1946 m lawrence
LIND JR,31-01-1946,M,LAWRENCE,0,lind jr 31-01-1946 m lawrence
LIND JR,31-01-1946,M,KENNETH,0,lind jr 31-01-1946 m kenneth
LIND JR,20-01-1946,M,JOHN,0,lind jr 20-01-1946 m john
CAIN JR,20-01-1946,M,JOHN,0,cain jr 20-01-1946 m john
CLARK,09-06-1945,M,JOHN,0,clark 09-06-1945 m john
CLARK,09-02-1945,M,RONALD,0,clark 09-02-1945 m ronald
CLARK,09-02-1945,M,DONALD,1,clark 09-02-1945 m donald
CLARK,16-12-1944,M,JOHN,0,clark 16-12-1944 m john
MICHAELSON JR,16-12-1944,M,JOHN,0,michaelson jr 16-12-1944 m john
MICHAELSON JR,24-04-1940,M,JOHN,0,michaelson jr 24-04-1940 m john
MICHAELSON JR,24-06-1939,M,JOHN,0,michaelson jr 24-06-1939 m john
MICHAELSON JR,24-06-1939,M,JAMES,0,michaelson jr 24-06-1939 m james
MICHAELSON JR,24-06-1939,M,JACK,0,michaelson jr 24-06-1939 m jack
MICHAELSON JR,09-06-1939,M,JACK,0,michaelson jr 09-06-1939 m jack
LARSON JR,09-06-1939,M,HAROLD,0,larson jr 09-06-1939 m harold
MUSTAPHA JR,07-10-1937,M,HAROLD,0,mustapha jr 07-10-1937 m harold
HOUGHTON JR,07-10-1937,M,HAROLD,0,houghton jr 07-10-1937 m harold
MELVIN JR,07-10-1937,M,HAROLD,0,melvin jr 07-10-1937 m harold
CHAVAS JR,07-10-1937,M,HAROLD,0,chavas jr 07-10-1937 m harold
MICHAELSON JR,07-10-1937,M,HAROLD,0,michaelson jr 07-10-1937 m harold
SMITH JR,07-10-1937,M,HAROLD,0,smith jr 07-10-1937 m harold
FAGEN JR,07-10-1937,M,HAROLD,0,fagen jr 07-10-1937 m harold
FAGEN JR,07-10-1937,M,GEORGE,0,fagen jr 07-10-1937 m george
GRIFFIN JR,07-10-1937,M,DARH,0,griffin jr 07-10-1937 m darh
GRIFFIN JR,10-07-1937,M,DARL,0,griffin jr 10-07-1937 m darl
GRIFFIN JR,07-05-1937,M,DARL,0,griffin jr 07-05-1937 m darl
GRIFFIN JR,07-05-1937,M,CLIFFORD,0,griffin jr 07-05-1937 m clifford
GRIFFIN JR,07-05-1937,M,CLARENCE,0,griffin jr 07-05-1937 m clarence
HANNA,24-11-1934,M,ADDISON J,0,hanna 24-11-1934 m addison j
GALETICH JR,15-10-1932,M,ADDISON,0,galetich jr 15-10-1932 m addison
FUNARO JONES,06-12-1937,F,HARRIET,0,funaro jones 06-12-1937 f harriet
